"Time","CSCCounts wetlab_transmissometer"
1736367300000,3165.642656688494
1736368200000,3122.11693171188
1736369100000,3137.306828811974
1736370000000,3125.1870907390085
1736370900000,3114.536448598131
1736371800000,3066.9242282507016
1736372700000,3110.2376052385407
1736373600000,3071.9915809167446
1736374500000,3078.1487371375115
1736375400000,3074.0748362956033
1736376300000,3073.4808231992515
1736377200000,3089.33021515435
1736378100000,3033.0504672897196
1736379000000,3025.422825070159
1736379900000,3020.534144059869
1736380800000,3024.7680074836294
1736381700000,3015.8658536585367
1736382600000,3051.718428437792
1736383500000,3176.6594948550046
1736384400000,3300.7205607476635
1736385300000,3326.1646398503276
1736386200000,3309.2338634237603
1736387100000,3302.8550046772684
1736388000000,3244.570626753976
1736388900000,3232.2843779232926
1736389800000,3286.0028063610853
1736390700000,3287.1908325537884
1736391600000,3228.0280636108514
1736392500000,3290.9766355140187
1736393400000,3313.999064546305
1736394300000,3292.6080449017772
1736395200000,3285.041392285983
1736396100000,3296.416276894294
1736397000000,3271.2179607109447
1736397900000,3267.0542563143126
1736398800000,3250.6903648269413
1736399700000,3240.033644859813
1736400600000,6969.54911131899
1736401500000,9729.064546304959
1736402400000,3318.4508886810104
1736403300000,3856.6978484565016
1736404200000,2655.4822429906544
1736405100000,7588.536950420954
1736406000000,11914.523854069224
1736406900000,11972.718428437793
1736407800000,11983.588951310861
1736408700000,11972.622076707203
1736409600000,12004.30028063611
1736410500000,12007.799812909261
1736411400000,12009.973782771536
1736412300000,11977.083255378859
1736413200000,12017.289055191768
1736414100000,11963.802619270346
1736415000000,11831.024344569289
1736415900000,11844.606173994387
1736416800000,11937.527595884003
1736417700000,11953.0944808232
1736418600000,11961.649812734082
1736419500000,11956.152478952292
1736420400000,11952.800748362955
1736421300000,11944.978484565014
1736422200000,11941.683816651075
1736423100000,11941.31647940075
1736424000000,11933.628624883067
1736424900000,11944.309635173058
1736425800000,11957.804490177736
1736426700000,11945.280898876405
1736427600000,11934.027128157157
1736428500000,11924.798877455565
1736429400000,11936.436856875585
1736430300000,11956.219831618335
1736431200000,11950.573033707866
1736432100000,11952.719363891487
1736433000000,11948.604303086997
1736433900000,11939.369504209542
1736434800000,11936.32460243218
1736435700000,11932.268726591761
1736436600000,11931.921421889616
1736437500000,11935.09822263798
1736438400000,11936.634237605238
1736439300000,11948.999064546306
1736440200000,11959.177902621723
1736441100000,11950.959775491114
1736442000000,11943.724041159963
1736442900000,11944.816651075771
1736443800000,11956.294007490636
1736444700000,11954.62675397568
1736445600000,11952.128157156221
1736446500000,11951.547240411599
1736447400000,11952.391019644527
1736448300000,11936.269662921348
1736449200000,11938.314312441535
1736450100000,11944.104770813845
1736451000000,11958.951356407857
1736451900000,11959.164639850327
1736452800000,11957.175865294668
1736453700000,11954.235018726591
1736454600000,11941.88119738073
1736455500000,11934.221702525725
1736456400000,11927.931711880263
1736457300000,11932.234798877456
1736458200000,11922.434456928839
1736459100000,11928.054256314312
1736460000000,11929.758652946679
1736460900000,11928.987839101965
1736461800000,11926.079513564078
1736462700000,11919.86329588015
1736463600000,11930.086061739943
1736464500000,11923.99812909261
1736465400000,11930.955098222637
1736466300000,11932.356407857811
1736467200000,11936.841760299625
1736468100000,11934.947516401126
1736469000000,11961.464920486436
1736469900000,11970.382600561272
1736470800000,11943.486891385768
1736471700000,11936.569691300281
1736472600000,11937.572497661366
1736473500000,11939.240411599625
1736474400000,11943.750233863424
1736475300000,11943.194756554307
1736476200000,11922.984097287184
1736477100000,11927.76426566885
1736478000000,11923.130963517306
1736478900000,11925.187090739008
1736479800000,11922.07584269663
1736480700000,11928.357343311505
1736481600000,11924.249766136576
1736482500000,11912.434985968195
1736483400000,11908.938202247191
1736484300000,11907.436856875585
1736485200000,11908.659494855005
1736486100000,11910.53601496726
1736487000000,11891.72097378277
1736487900000,11902.442469597754
1736488800000,11901.921421889616
1736489700000,11907.119738072965
1736490600000,11906.119738072965
1736491500000,11908.168539325843
1736492400000,11902.602432179607
1736493300000,11903.376987839101
1736494200000,11901.509822263797
1736495100000,11882.90177736202
1736496000000,11877.92415730337
1736496900000,11880.13751169317
1736497800000,11855.843779232928
1736498700000,11861.455992509364
1736499600000,11866.412535079513
1736500500000,11853.629560336763
1736501400000,11853.135767790262
1736502300000,11840.358278765201
1736503200000,11835.591206735267
1736504100000,11833.789325842698
1736505000000,11834.287184284378
1736505900000,11834.400374181478
1736506800000,11839.810102899906
1736507700000,11849.911985018727
1736508600000,11840.680074836295
1736509500000,11833.09635173059
1736510400000,11835.661985018727
1736511300000,11824.364826941066
1736512200000,11834.89242282507
1736513100000,11829.713751169316
1736514000000,11827.880149812734
1736514900000,11811.21702525725
1736515800000,11800.13564078578
1736516700000,11795.628277153559
1736517600000,11794.62675397568
1736518500000,11790.307764265668
1736519400000,11797.002808988764
1736520300000,11791.889616463985
1736521200000,11794.76052385407
1736522100000,11792.628277153559
1736523000000,11804.89055191768
1736523900000,11805.144059869037
1736524800000,11796.950420954163
1736525700000,11809.49063670412
1736526600000,11817.429373246025
1736527500000,11795.195509822264
1736528400000,11775.411985018727
1736529300000,11836.646398503273
1736530200000,11800.013096351731
1736531100000,11790.940074906366
1736532000000,11775
1736532900000,11764.473339569691
1736533800000,11751.21254681648
1736534700000,11747.318054256315
1736535600000,11749.160898035547
1736536500000,11765.972871842843
1736537400000,11757.74063670412
1736538300000,11750.496725912068
1736539200000,11750.641721234799
1736540100000,11758.188026192704
1736541000000,11760.574906367041
1736541900000,11758.031805425631
1736542800000,11773.735266604303
1736543700000,11770.999064546306
1736544600000,11758.925093632959
1736545500000,11744.060804490178
1736546400000,11759.832553788587
1736547300000,11754.166666666666
1736548200000,11745.824134705332
1736549100000,11755.58091674462
1736550000000,11777.067352666043
1736550900000,11765.898876404495
1736551800000,11759.388213283442
1736552700000,11746.78671655753
1736553600000,11739.272217025256
1736554500000,11744.224105461393
1736555400000,11742.480823199252
1736556300000,11743.665107577175
1736557200000,11741.234798877456
1736558100000,11740.15074906367
1736559000000,11734.935453695041
1736559900000,11747.42095416277
1736560800000,11778.395696913003
1736561700000,11766.355805243446
1736562600000,11765.638914873714
1736563500000,11761.46772684752
1736564400000,11756.454630495791
1736565300000,11761.468164794007
1736566200000,11757.946679139382
1736567100000,11753.984097287184
1736568000000,11746.533208606174
1736568900000,11740.073970037452
1736569800000,11730.945743685688
1736570700000,11726.389148737138
1736571600000,11725.542563143124
1736572500000,11727.812734082398
1736573400000,11730.573433115062
1736574300000,11730.67165575304
1736575200000,11729.687558465856
1736576100000,11722.67415730337
1736577000000,11713.77549111319
1736577900000,11703.4340505145
1736578800000,11711.428437792329
1736579700000,11716.485018726591
1736580600000,11717.770813844714
1736581500000,11715.104770813845
1736582400000,11715.724041159963
1736583300000,11716.275023386343
1736584200000,11702.616104868914
1736585100000,11693.916744621141
1736586000000,11691.887745556594
1736586900000,11695.025257249767
1736587800000,11698.783707865168
1736588700000,11701.412535079513
1736589600000,11698.242282507015
1736590500000,11689.785781103836
1736591400000,11685.079588014982
1736592300000,11677.765201122544
1736593200000,11680.144059869037
1736594100000,11689.050514499533
1736595000000,11681.941011235955
1736595900000,11676.072029934518
1736596800000,11674.43779232928
1736597700000,11663.2734082397
1736598600000,11658.6978484565
1736599500000,11650.755617977527
1736600400000,11654.388213283442
1736601300000,11657.403180542564
1736602200000,11654.959737827716
1736603100000,11652.715622076706
1736604000000,11638.747191011236
1736604900000,11644.739943872779
1736605800000,11621.946679139382
1736606700000,11622.826779026218
1736607600000,11635.477081384472
1736608500000,11639.06086142322
1736609400000,11637.591206735267
1736610300000,11626.30402245089
1736611200000,11620.074906367041
1736612100000,11609.657623947614
1736613000000,11604.158091674462
1736613900000,11602.352996254682
1736614800000,11590.401309635174
1736615700000,11584.241573033707
1736616600000,11583.31898971001
1736617500000,11579.79045837231
1736618400000,11578.706928838952
1736619300000,11565.194574368568
1736620200000,11561.317118802619
1736621100000,11559.808988764045
1736622000000,11554.782039289055
1736622900000,11552.205992509364
1736623800000,11545.968194574369
1736624700000,11538.801683816651
1736625600000,11537.497191011236
1736626500000,11528.753040224508
1736627400000,11531.036516853932
1736628300000,11521.244153414405
1736629200000,11523.733146067416
1736630100000,11519.12254443405
1736631000000,11523.833489242283
1736631900000,11513.422284644195
1736632800000,11507.756782039289
1736633700000,11487.020599250936
1736634600000,11486.87932647334
1736635500000,11489.268475210478
1736636400000,11488.827715355805
1736637300000,11485.634237605238
1736638200000,11495.470533208607
1736639100000,11498.2265917603
1736640000000,11498.383536014968
1736640900000,11496.91924882629
1736641800000,11503.448082319925
1736642700000,11505.865294667914
1736643600000,11494.795880149813
1736644500000,11485.155285313376
1736645400000,11485.030898876405
1736646300000,11496.74368568756
1736647200000,11493.290926099158
1736648100000,11477.342696629214
1736649000000,11475.749298409728
1736649900000,11467.66573033708
1736650800000,11477.717492984097
1736651700000,11457.948550046773
1736652600000,11445.450374531834
1736653500000,11438.6604303087
1736654400000,11424.11374407583
1736655300000,11398.436856875585
1736656200000,11384.734331150608
1736657100000,11388.352059925093
1736658000000,11386.970065481759
1736658900000,11362.33426966292
1736659800000,11358.778297474275
1736660700000,11367.112359550561
1736661600000,11366.234798877456
1736662500000,11370.898876404495
1736663400000,11377.405051449954
1736664300000,11378.826779026218
1736665200000,11396.746492048644
1736666100000,11409.83520599251
1736667000000,11401.797942001871
1736667900000,11388.97097378277
1736668800000,11381.956033676333
1736669700000,11376.369850187266
1736670600000,11355.97380729654
1736671500000,11343.008419083255
1736672400000,11324.082397003745
1736673300000,11312.67539756782
1736674200000,11305.592696629214
1736675100000,11307.44756554307
1736676000000,11308.420018709074
1736676900000,11303.411048689139
1736677800000,11293.55659494855
1736678700000,11268.294943820225
1736679600000,11283.304957904584
1736680500000,11280.591760299625
1736681400000,11249.054256314312
1736682300000,11246.614232209738
1736683200000,11250.568352059925
1736684100000,11261.084190832555
1736685000000,11258.547752808989
1736685900000,11236.516370439664
1736686800000,11236.225655430711
1736687700000,11229.150608044902
1736688600000,11224.937265917602
1736689500000,11217.813844714687
1736690400000,11179.89606741573
1736691300000,11135.174929840972
1736692200000,11120.732209737827
1736693100000,11072.941066417212
1736694000000,11107.188026192704
1736694900000,11144.041198501873
1736695800000,11139.761459307765
1736696700000,11144.67415730337
1736697600000,11152.167446211413
1736698500000,11139.651685393259
1736699400000,11146.696913002806
1736700300000,11125.149812734082
1736701200000,11084.595884003742
1736702100000,11075.21702525725
1736703000000,11077.268726591761
1736703900000,11096.546304957905
1736704800000,11147.315543071161
1736705700000,11162.079513564078
1736706600000,11189.077715355805
1736707500000,11199.234798877456
1736708400000,11201.647003745318
1736709300000,11209.080449017774
1736710200000,11212.160898035547
1736711100000,11201.337078651686
1736712000000,11200.151543498598
1736712900000,11194.493445692884
1736713800000,11185.051449953227
1736714700000,11170.33395696913
1736715600000,11174.395131086143
1736716500000,11169.583723105707
1736717400000,11173.843632958802
1736718300000,11185.486435921423
1736719200000,11179.884831460675
1736720100000,11174.110383536015
1736721000000,11165.632958801498
1736721900000,11159.170252572498
1736722800000,11158.711610486891
1736723700000,11143.46959775491
1736724600000,11141.496254681648
1736725500000,11158.434456928839
1736726400000,11169.424695977548
1736727300000,11168.578947368422
1736728200000,11164.623947614593
1736729100000,11187.284644194757
1736730000000,11175.13938260056
1736730900000,11168.881086142323
1736731800000,11166.976613657624
1736732700000,11159.283707865168
1736733600000,11153.046772684753
1736734500000,11157.970037453184
1736735400000,11161.949485500467
1736736300000,11172.892322097377
1736737200000,11179.854069223573
1736738100000,11187.652621722846
1736739000000,11180.23760523854
1736739900000,11178.388576779027
1736740800000,11178.811038353602
1736741700000,11168.541198501873
1736742600000,11174.25444340505
1736743500000,11183.658239700375
1736744400000,11179.470533208607
1736745300000,11172.932584269663
1736746200000,11167.583723105707
1736747100000,11164.940074906366
1736748000000,11099.069223573433
1736748900000,11083.689429373246
1736749800000,11082.454119850187
1736750700000,11124.210477081384
1736751600000,11122.764981273409
1736752500000,11126.477081384472
1736753400000,11084.340505144995
1736754300000,11114.66479400749
1736755200000,11099.287184284378
1736756100000,11055.402621722846
1736757000000,11062.190832553788
1736757900000,11089.044901777363
1736758800000,11083.012172284643
1736759700000,11078.724976613657
1736760600000,11075.073033707866
1736761500000,11066.99812909261
1736762400000,11085.5659494855
1736763300000,11089.576779026218
1736764200000,11082.065481758653
1736765100000,11081.21141253508
1736766000000,11079.219101123595
1736766900000,11069.557530402246
1736767800000,11067.9297752809
1736768700000,11075.127221702525
1736769600000,11083.100187265918
1736770500000,11085.165575304023
1736771400000,11079.261927034611
1736772300000,11069.93913857678
1736773200000,11072.914873713751
1736774100000,11075.265668849392
1736775000000,11067.531835205993
1736775900000,11073.563143124415
1736776800000,11068.43913857678
1736777700000,11040.455565949485
1736778600000,11045.488764044943
1736779500000,11019.927970065482
1736780400000,11032.83426966292
1736781300000,11040.314312441535
1736782200000,11042.992509363296
1736783100000,11036.763330215153
1736784000000,11034.058988764045
1736784900000,11031.804490177736
1736785800000,11032.761235955057
1736786700000,11026.102059925093
1736787600000,11023.728718428438
1736788500000,11017.237827715357
1736789400000,11018.246959775492
1736790300000,11020.449953227315
1736791200000,11027.62265917603
1736792100000,11026.449438202248
1736793000000,11019.179607109449
1736793900000,11018.746492048644
1736794800000,11017.8202247191
1736795700000,11012.778297474275
1736796600000,11006.181478016839
1736797500000,10999.701590271281
1736798400000,11003.611786716558
1736799300000,10997.806179775282
1736800200000,10994.274087932647
1736801100000,10999.526660430309
1736802000000,11002.223782771536
1736802900000,11002.919550982226
1736803800000,11000.88493919551
1736804700000,11002.787652011226
1736805600000,11003.604303086997
1736806500000,11002.455992509364
1736807400000,10998.843779232928
1736808300000,10994.068288119737
1736809200000,10994.818352059925
1736810100000,10996.709073900842
1736811000000,10996.443820224718
1736811900000,10998.244153414405
1736812800000,10994.083255378859
1736813700000,10990.565789473685
1736814600000,10990.818521983161
1736815500000,10987.499063670411
1736816400000,10986.56647940075
1736817300000,10987.983161833488
1736818200000,10985.253745318352
1736819100000,10983.33395696913
1736820000000,10981.852996254682
1736820900000,10977.59925093633
1736821800000,10975.633302151544
1736822700000,10973.928838951311
1736823600000,10970.99812909261
1736824500000,10965.756554307116
1736825400000,10961.67539756782
1736826300000,10958.276217228464
1736827200000,10953.58091674462
1736828100000,10946.259120673527
1736829000000,10945.484082397004
1736829900000,10943.54911131899
1736830800000,10947.606741573034
1736831700000,10944.150608044902
1736832600000,10945.887745556594
1736833500000,10945.968164794007
1736834400000,10943
1736835300000,10936.51404494382
1736836200000,10919.727782974744
1736837100000,10920.394761459307
1736838000000,10928.659176029963
1736838900000,10930.855004677269
1736839800000,10927.871842843779
1736840700000,10927.222846441948
1736841600000,10924.543498596819
1736842500000,10911.569691300281
1736843400000,10912.87265917603
1736844300000,10909.025257249767
1736845200000,10902.57904583723
1736846100000,10896.76426566885
1736847000000,10897.250936329589
1736847900000,10887.730589335828
1736848800000,10885.63670411985
1736849700000,10882.362956033676
1736850600000,10880.037418147802
1736851500000,10880.62265917603
1736852400000,10877.684752104771
1736853300000,10879.06086142322
1736854200000,10873.487371375117
1736855100000,10864.696629213484
1736856000000,10861.114125350796
1736856900000,10855.297752808989
1736857800000,10854.261927034611
1736858700000,10857.303370786516
1736859600000,10861.199251637045
1736860500000,10856.68352059925
1736861400000,10852.284377923294
1736862300000,10853.08426966292
1736863200000,10853.594013096352
1736864100000,10853.065543071161
1736865000000,10819.393826005613
1736865900000,10793.927970065482
1736866800000,10751.038389513109
1736867700000,10751.303370786516
1736868600000,10744.55472404116
1736869500000,10738.956928838952
1736870400000,10722.74555659495